CAR_CHC_ID,Reference_Number,Adv_Name_E,Program,Dept_Code,Class_Group,Class_Lvl,Appl_Submitted,url
1004485,RCM17J-018010-000012,Asset Manager,INT,RCM,AS,04,12,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004485
1004524,BSF17J-016759-000012,"Senior Director, Internal Audit",INT,BSF,EX,02,19,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004524
1004530,DUS17J-018207-000040,Program Officer - ANTICIPATORY*,INT,DUS,PM,04,80,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004530
1004532,BAL17J-011827-000173,Strategic Analyst (AMENDMENT TO OFFICIAL LANGUAGES),INT,BAL,EC,06,6,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004532
1004545,RCM17J-014970-000279,"Team Leader, Applicant Processing",INT,RCM,AS,02,16,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004545
1004547,AHS17J-018304-000007,Senior Medical Advisor / Director (Amendment to closing date),JOP,AHS,MD,04,11,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004547
1004561,DND17J-014668-000115,Division Hazardous Materials Officer,INT,DND,PC,03,20,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004561
1004643,SHC17J-014704-000691,Patent Officer - Legal,JOP,SHC,SG,06,29,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004643
1004693,IAN17J-016464-000052,Social Policy Researcher,INT,IAN,EC,05,27,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004693
1004697,SHC17J-014590-000160,Communications Advisor - AMENDMENT TO CLOSING DATE,INT,SHC,IS,04,38,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004697
1004711,CSD17J-018287-000002,"Coordinator, Administrative Service",INT,CSD,AS,03,86,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004711
1004739,DUS17J-018176-000024,Mover/Manipulator,JOP,DUS,GL,06,21,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004739
1004748,AHS17J-016386-000016,Biologist,JOP,AHS,BI,03,12,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004748
1004751,DND17J-018255-000004,Vehicle Mechanic,JOP,DND,GL,09,7,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004751
1004760,GGS17J-016445-000004,Senior Communication Advisor-ANTICIPATORY,INT,GGS,IS,05,4,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004760
1004775,BSF17J-015900-000346,Financial Officer,INT,BSF,FI,01,28,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004775
1004789,PEN17J-009760-000070,"Chief, Health Services",INT,PEN,NU,05,4,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004789
1004790,CES17J-017518-000032,"Officer, Governance",INT,CES,AS,05,52,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004790
1004795,AGR17J-016459-000398,Market Information Officer,INT,AGR,EC,01,8,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004795
1004818,RSN17J-014953-000224,Policy Analyst,JOP,RSN,EC,04,61,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1004818
