var temp_adv_data = `one_position,int_process,predicted,lower,upper,Class_Group,Class_Grp_Lvl,Dept_Code,Language,Region_NCR
1,0,76.52512244,69.26636322,84.54456236,CS,ANY,ANY,ANY,ANY
1,0,45.96106675,19.81751687,106.5935592,DD,ANY,ANY,ANY,ANY
1,0,51.44301664,34.64934119,76.37616966,DS,ANY,ANY,ANY,ANY
1,0,96.90880819,89.53210145,104.8932947,EC,ANY,ANY,ANY,ANY
1,0,56.31815949,37.34162054,84.93833536,ED,ANY,ANY,ANY,ANY
1,0,47.31175245,42.52611838,52.63593305,EG,ANY,ANY,ANY,ANY
1,0,42.99967267,30.92182355,59.79504564,EL,ANY,ANY,ANY,ANY
1,0,45.75780064,38.4528515,54.45048255,EN,ANY,ANY,ANY,ANY
1,0,81.1638612,73.16397357,90.03847171,EX,ANY,ANY,ANY,ANY
1,0,113.7522587,100.306981,128.9997589,FI,ANY,ANY,ANY,ANY
1,0,31.92739997,9.32011354,109.3719367,FO,ANY,ANY,ANY,ANY
1,0,27.68091869,18.42372782,41.58947997,FR,ANY,ANY,ANY,ANY
1,0,24.68374002,21.569879,28.24712282,GL,ANY,ANY,ANY,ANY
1,0,37.72618746,31.19048639,45.6313891,GS,ANY,ANY,ANY,ANY
1,0,39.95212686,34.13171731,46.76507853,GT,ANY,ANY,ANY,ANY
1,0,11.9748429,7.562362046,18.96191449,HP,ANY,ANY,ANY,ANY
1,0,31.74120815,13.55171396,74.34515644,HS,ANY,ANY,ANY,ANY
1,0,60.22432733,53.24416295,68.1195722,IS,ANY,ANY,ANY,ANY
1,0,47.93650352,39.65786986,57.94331308,LP,ANY,ANY,ANY,ANY
1,0,19.18151797,10.99332284,33.46855513,LS,ANY,ANY,ANY,ANY
1,0,49.70929014,27.31969055,90.44807888,MA,ANY,ANY,ANY,ANY
1,0,12.07576987,5.556091602,26.24582681,MD,ANY,ANY,ANY,ANY
1,0,117.5872914,107.5956075,128.506836,Multi,ANY,ANY,ANY,ANY
1,0,45.56826327,27.43423213,75.68889142,NB,ANY,ANY,ANY,ANY
1,0,27.7947023,10.26102293,75.28932364,ND,ANY,ANY,ANY,ANY
1,0,21.66606888,17.59819648,26.67424138,NU,ANY,ANY,ANY,ANY
1,0,65.46139368,56.4390803,75.926008,PC,ANY,ANY,ANY,ANY
1,0,62.00278879,55.83684211,68.84962818,PE,ANY,ANY,ANY,ANY
1,0,73.24955423,63.53970094,84.44322393,PG,ANY,ANY,ANY,ANY
1,0,9,1.52274972,53.19324571,PH,ANY,ANY,ANY,ANY
1,0,40,7.447211102,214.8455278,PI,ANY,ANY,ANY,ANY
1,0,116.5391443,107.6268722,126.1894161,PM,ANY,ANY,ANY,ANY
1,0,7.614470564,4.509811209,12.85644992,PS,ANY,ANY,ANY,ANY
1,0,51.65555161,40.34495614,66.13704084,RE,ANY,ANY,ANY,ANY
1,0,30.09068712,27.12835397,33.37649797,SE,ANY,ANY,ANY,ANY
1,0,74.77386278,51.97239678,107.5788477,SG,ANY,ANY,ANY,ANY
1,0,24.19559683,17.35204816,33.73820199,SO,ANY,ANY,ANY,ANY
1,0,23.75675159,14.41049486,39.16473733,SR,ANY,ANY,ANY,ANY
1,0,15.77098063,8.084225357,30.76656315,ST,ANY,ANY,ANY,ANY
1,0,33.64276008,15.84596317,71.42735933,SW,ANY,ANY,ANY,ANY
1,0,47.77628177,37.31605376,61.16866254,TI,ANY,ANY,ANY,ANY
1,0,29.27634224,18.67787652,45.88873977,UT,ANY,ANY,ANY,ANY
0,1,11.2834371,6.668981564,19.09076396,AO,ANY,ANY,ANY,ANY
0,1,56.81627833,54.24576492,59.50859922,AS,ANY,ANY,ANY,ANY
0,1,27.35610329,18.14879491,41.23449468,AU,ANY,ANY,ANY,ANY
0,1,54.67757981,44.93402012,66.53394744,BI,ANY,ANY,ANY,ANY
0,1,31.57359116,20.56688313,48.47072123,CH,ANY,ANY,ANY,ANY
0,1,38.18206348,32.74158794,44.52655058,CO,ANY,ANY,ANY,ANY
